Title,Genre,Year,Runtime,Rating,desc,Votes,Director,Stars
"Walk Softly, Stranger","Crime, Drama, Film-Noir            ",1950,81 min,6.5,An ex-hood hopes to start a new life under an assumed name in a small town but his past catches up with him when an old crime-buddy asks him to help with a casino heist.,"10,122",Bob Rafelson,Debra Winger
When Strangers Marry,"Crime, Drama, Film-Noir            ",1944,67 min,6.5,"A naive small-town girl comes to New York City to meet her husband, and discovers that he may be a murderer.","769,428",Ridley Scott,Harrison Ford
Where Danger Lives,"Crime, Film-Noir, Thriller            ",1950,82 min,6.7,"A young doctor falls in love with a disturbed young woman, becomes involved in her husband's death, and must flee with her to the Mexican border.","8,623",Michael Apted,Madeleine Stowe
Where the Sidewalk Ends,"Crime, Drama, Film-Noir            ",1950,95 min,7.6,Det. Sgt. Mark Dixon wants to be something his old man wasn't: a guy on the right side of the law. Will Dixon's vicious nature get the better of him?,"97,727",Joel Coen,|
While the City Sleeps,"Crime, Drama, Film-Noir            ",1956,100 min,6.9,A serial killer has been killing beautiful women in New York and the new owner of a media company offers a high ranking job to the first of his senior executives who can get the earliest scoops on the case.,"36,475",Lawrence Kasdan,William Hurt
Whirlpool,"Crime, Drama, Film-Noir            ",1950,98 min,6.7,"A woman suffering from kleptomania is hypnotized in an attempt to cure her. Soon afterwards, she's found at the scene of a murder with no memory of how she got there, and seemingly no way to prove her innocence.","6,710",Tony Richardson,Jack Nicholson
Whispering City,"Crime, Drama            ",1947,98 min,6.2,"When a nagging wife commits suicide, her husband is threatened with a murder frame by his lawyer, unless he kills a certain female reporter for him.","56,423",Lana Wachowski,|
Whispering Footsteps,"Crime, Drama, Film-Noir            ",1943,54 min,5.8,"A bank clerk in a small town returns home from a vacation in Indianapolis, and hears a story on the radio about a girl found murdered there. The description of the killer fits him exactly, ...                See full summary »","9,602",Jim McBride,Richard Gere
Whistle Stop,"Crime, Drama, Film-Noir            ",1946,85 min,5.5,"When beautiful Mary returns home to her ""whistle stop"" home town, long-standing feelings of animosity between two of her old boyfriends leads to robbery and murder.","197,215",Martin Scorsese,Robert De Niro
White Heat,"Action, Crime, Drama            ",1949,114 min,8.1,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,"12,487",Don Siegel,Walter Matthau
Wicked Woman,"Drama, Film-Noir            ",1953,77 min,6.7,"Drifting floozy Billie Nash gets a bar job where she seduces the owner's husband by convincing him to defraud his drunkard wife in order to elope together to Mexico, but a sleazy neighbor with designs on Billie jeopardizes her plans.","7,089",John Bailey,Ed Harris
The Window,"Drama, Film-Noir, Thriller            ",1949,73 min,7.4,"To avoid the heat of a sweltering summer night a 9-year-old Manhattan boy decides to sleep on the fire escape and witnesses a murder, but no one will believe him.","327,675",Roman Polanski,Jack Nicholson
Without Warning!,"Crime, Drama, Film-Noir            ",1952,77 min,6.6,"Quiet, unobtrusive LA citizen Carl Martin picks up look-alikes for his estranged blonde wife and murders them with garden shears.","406,353",Michael Mann,Tom Cruise
Witness to Murder,"Crime, Drama, Film-Noir            ",1954,83 min,6.6,"A woman's sanity comes into question, after she claims to have witnessed a murder from her apartment window.","113,046",Francis Ford Coppola,Gene Hackman
Woman in Hiding,"Crime, Drama, Film-Noir            ",1950,92 min,6.8,"After her father is killed in an accident, mill heiress Deborah Chandler marries the plant manager, Selden Clark, but his motives are suspicious.","5,583",James B. Harris,James Woods
The Woman in the Window,"Crime, Drama, Film-Noir            ",1944,107 min,7.6,"A conservative middle aged professor engages in a relationship with a femme fatale, he's plunged into a nightmarish world of blackmail and murder.","4,259",Martin Campbell,Gary Oldman
The Woman on Pier 13,"Crime, Drama, Film-Noir            ",1949,73 min,6,"Successful, newly married Brad Collins once belonged to the Communist Party of the USA, and now the Party will stop at nothing to use him.","21,982",Mike Hodges,Clive Owen
The Woman on the Beach,"Crime, Drama, Film-Noir            ",1947,71 min,6.4,A Coast Guardsman suffering from Post-Traumatic Stress becomes involved with a beautiful and enigmatic seductress married to a blind painter.,"10,472",Annabel Jankel,|
Woman on the Run,"Crime, Drama, Film-Noir            ",1950,77 min,7.2,"Frank Johnson becomes an eyewitness to a murder. He's pursued around San Francisco by his wife, the police, and the killer.","2,809",Mike Newell,Miranda Richardson
World for Ransom,"Crime, Drama, Film-Noir            ",1954,82 min,5.8,"In Singapore, a private detective and the British authorities are on the trail of a crime syndicate that kidnaps a nuclear physicist with the aim of selling him to the highest bidder.","201,343",Alex Proyas,Rufus Sewell
The Wrong Man,"Drama, Film-Noir            ",1956,105 min,7.4,"In 1953, an innocent man named Christopher Emanuel ""Manny"" Balestrero is arrested after being mistaken for an armed robber.","4,730",Thomas Jane,Thomas Jane
"After Dark, My Sweet","Crime, Drama, Mystery            ",1990,114 min,6.5,An ex-boxer is drifting around after escaping from the mental hospital. He meets a widow who convinces him to help fix up the neglected estate her ex-husband left. Her Uncle talks them both...                See full summary »,"39,954",Michael Winner,Charles Bronson
Against All Odds,"Action, Adventure, Crime            ",1984,128 min,5.9,"A gangster hires an ex-football player to find his girlfriend. When he finds her, they fall in love, and the twists start to appear.","6,694",Jonas Pate,|
At Close Range,"Crime, Drama            ",1986,111 min,6.9,"Reunited with his career criminal father, tough teen Brad thinks he's found his ticket to an exciting life of crime, only to find out he's wrong.","39,849",Marcel Langenegger,Hugh Jackman
Bad Influence,"Drama, Thriller            ",1990,99 min,6.2,A soft and hesitant young man is in danger when he tries to break toxic relationships with a mysterious stranger claiming to be his friend.,"12,238",Bill Duke,Laurence Fishburne
Bad Lieutenant,"Crime, Drama, Thriller            ",1992,96 min,7,"While investigating a young nun's rape, a corrupt New York City police detective, with a serious drug and gambling addiction, tries to change his ways and find forgiveness and redemption.","11,720",Scott McGehee,|
Badlands,"Action, Crime, Drama            ",1973,94 min,7.7,"An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands.","21,101",Carl Franklin,Denzel Washington
Basic Instinct,"Drama, Mystery, Thriller            ",1992,127 min,7,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,"2,008",Roy London,Sherilyn Fenn
The Bedroom Window,"Crime, Mystery, Thriller            ",1987,112 min,6.4,A young executive starts an affair with his boss's wife which then escalates into a nightmare after he lies to the police in order to protect her.,"16,975",Walter Hill,Ryan O'Neal
Best Seller,"Action, Crime, Drama            ",1987,95 min,6.4,"A hitman approaches a writer to help him create his next best seller, but the violent world he was a part of has other plans.","5,627",Stuart Rosenberg,Paul Newman
Beyond a Reasonable Doubt,"Crime, Drama, Mystery            ",2009,106 min,5.8,"Remake of the 1956 film noir film ""Beyond a Reasonable Doubt"" in which a writer's plan to expose a corrupt district attorney takes an unexpected turn.","5,388",Hal Ashby,Jeff Bridges
The Black Dahlia,"Crime, Drama, Mystery            ",2006,121 min,5.6,"Two policemen see their personal and professional lives fall apart in the wake of the ""Black Dahlia"" Elizabeth Short murder investigation.","8,574",Dick Richards,Robert Mitchum
Black Rain,"Action, Crime, Drama            ",1989,125 min,6.6,Two NYC cops arrest a Yakuza member and must escort him when he's extradited to Japan.,"88,052",Adrian Lyne,Michael Douglas
Black Widow,"Crime, Drama, Thriller            ",1987,102 min,6.4,A federal investigator tracks down a gold-digging woman who moves from husband to husband to kill them and collect the inheritance.,"49,455",James Foley,Mark Wahlberg
Blade Runner,"Action, Drama, Sci-Fi            ",1982,117 min,8.1,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"3,814",Abel Ferrara,Tom Berenger
Blink,"Crime, Drama, Mystery            ",1993,106 min,6.2,"Emma, a blind violinist who had recently undergone a revolutionary surgery, joins with a police detective to track a serial killer after she was an inadvertent witness to his latest crime.","36,279",Brian De Palma,Rebecca Romijn
Blood Simple,"Crime, Drama, Thriller            ",1984,99 min,7.6,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies and mischief ensues after he devises a plot to have them murdered.","2,115,143",David Fincher,Brad Pitt
Body Heat,"Crime, Drama, Romance            ",1981,113 min,7.4,"In the midst of a searing Florida heat wave, a woman persuades her lover, a small-town lawyer, to murder her rich husband.","11,035",Peter Yates,Robert Mitchum
The Border,"Crime, Drama            ",1982,108 min,6.4,A corrupt border Agent decides to clean up his act when an impoverished woman's baby is put up for sale on the black market.,"398,067",David Fincher,Michael Douglas
Bound,"Crime, Thriller            ",1996,109 min,7.3,Tough ex-con Corky and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.,"306,038",Andrew Niccol,Ethan Hawke
Breathless,"Action, Drama, Romance            ",1983,100 min,5.9,"When Jesse Lujack steals a car in Las Vegas and drives down to LA, his criminal ways only escalate - but when will it end?","34,291",Mike Hodges,Michael Caine
Cape Fear,"Crime, Thriller            ",1991,128 min,7.3,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.","32,923",Sam Peckinpah,Steve McQueen
Charley Varrick,"Crime, Drama, Thriller            ",1973,111 min,7.5,"A man, his wife and their friend stage a bloody bank robbery without realizing they are stealing from the Mob.","18,602",Roger Donaldson,Alec Baldwin
China Moon,"Crime, Drama, Mystery            ",1994,99 min,6.3,"Detective Kyle Bodine falls for Rachel Munro who is trapped in a violent marriage. After shooting her husband, Kyle reluctantly agrees to help hide the body, but Kyle's partner is showing an unusual flair for finding clues.","28,494",Stephen Frears,Anjelica Huston
Chinatown,"Drama, Mystery, Thriller            ",1974,130 min,8.2,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","2,494",Tamra Davis,Drew Barrymore
